Version,Class,N_cells,Area_share,WP_pop_share,Meta_pop_share
median,HH,120,0.4626715840575373,0.835912408770719,0.8210712369207318
median,LH,10,0.038511594463794006,0.027650384123379806,0.04690978628369091
median,LL,119,0.460170524370005,0.09536810756761191,0.10590892319723341
median,HL,10,0.03864629710866366,0.04106909953828912,0.026110053598343817
quartile,HH,53,0.20446274778614343,0.4568236389149099,0.44600997200773657
quartile,LH,0,0.0,0.0,0.0
quartile,LL,55,0.212738293071174,0.004511125529265124,0.010887852060288252
quartile,HL,0,0.0,0.0,0.0
quartile,other,151,0.5827989591426826,0.5386652355558249,0.5431021759319752
