Metric,Value,Input
Number of quadkeys,259,—
Spearman ρ (log shares),0.937,log(meta_share) vs log(wp_share)
Pearson r (log shares),0.924,log(meta_share) vs log(wp_share)
KS statistic,0.093,"shares normalized [0,1]"
KS p-value,0.216,"shares normalized [0,1]"
Earth Mover's Distance,0.036,"shares normalized [0,1]"
Gini (WorldPop),0.487,spatial shares
Gini (Meta baseline),0.478,spatial shares
ΔGini (Meta − WP),-0.009,spatial shares
Mean allocation_residual,0.386,log(meta_share/wp_share)
