,coef,std_err,p
const,-0.9348077693919594,0.058932790287043416,5.1762169787212825e-39
Poverty,-0.4223251754086077,0.07053621720987534,7.923706445208522e-09
PopulationDensity,0.005977695364607243,0.1513058837202169,0.9685194316591479
Poverty_x_PopDens,0.049594800610105336,0.057080244560165694,0.3858096335786796
