Variable,Model_1_Bivariate,Model_2_Controlled,beta_standardized,partial_R2
Log pop density (std),—,"-0.480*** (SE=0.006, HC3=0.006)",-0.5562,0.1492
Constant,-0.306,-0.306*** (0.004),—,—
Observations,35273,35273,—,—
