X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.4031,0.4739,0.0708
Top 20% of cells,0.6039,0.67,0.0661
Top 50% of cells,0.8772,0.8979,0.0208
