Top_X_pct,k,Overlap,Jaccard,Precision,Recall,F1
0.05,7,3,0.2727272727272727,0.42857142857142855,0.42857142857142855,0.42857142857142855
0.1,14,8,0.4,0.5714285714285714,0.5714285714285714,0.5714285714285714
0.2,28,20,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.7142857142857143
0.25,35,25,0.5555555555555556,0.7142857142857143,0.7142857142857143,0.7142857142857143
