Metric,Value,Input
Number of quadkeys,142,—
Spearman ρ (log shares),0.776,log(meta_share) vs log(wp_share)
Pearson r (log shares),0.765,log(meta_share) vs log(wp_share)
KS statistic,0.070,"shares normalized [0,1]"
KS p-value,0.875,"shares normalized [0,1]"
Earth Mover's Distance,0.027,"shares normalized [0,1]"
Gini (WorldPop),0.556,spatial shares
Gini (Meta baseline),0.529,spatial shares
ΔGini (Meta − WP),-0.027,spatial shares
Mean allocation_residual,0.117,log(meta_share/wp_share)
