Version,Class,N_cells,Area_share,WP_pop_share,Meta_pop_share
median,HH,57,0.4014214343010871,0.7683056948769625,0.7799572061297101
median,LH,14,0.09859950555417331,0.03531869050075188,0.0862820063155623
median,LL,57,0.40139263334209657,0.07671584272668276,0.09789479536486369
median,HL,14,0.09858642680264319,0.11965977189560283,0.03586599218986408
quartile,HH,26,0.18310145350207443,0.5219516483906645,0.4836217402363107
quartile,LH,0,0.0,0.0,0.0
quartile,LL,23,0.16195623913434842,0.01313115599190216,0.017403717909441802
quartile,HL,1,0.007040780533704936,0.010920635047961086,0.001231995146420732
quartile,other,92,0.6479015268298726,0.4539965605694722,0.4977425467078268
