X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.3722,0.3553,-0.0169
Top 20% of cells,0.5773,0.5632,-0.0141
Top 50% of cells,0.8877,0.8662,-0.0214
