Specification,τ,SE,p
Baseline SEM,0.0542,0.0533,0.3092
Continuous poverty,0.0343,0.0273,0.2098
Top vs Bottom quintile,0.157,0.1719,0.3608
Drop top 5% density,0.074,0.0575,0.1979
Drop central 10%,0.0653,0.058,0.2609
