Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),-0.010634074146714105,0.2971722323309554,0.9714544220452116,0.9894222677283497
SLM (spatial lag),0.05135121807096669,0.2336590029084767,0.8260503549556333,1.0526925530116054
SEM (spatial error),-0.0634493576918803,0.1433517905397249,0.658045722354291,0.938521646999622
