Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),-0.44215091135242696,0.11811152366977612,0.00018147201775790004,0.6426526445574705
SLM (spatial lag),-0.21536628723843515,0.07482444433904793,0.003998401457678679,0.8062460684392724
SEM (spatial error),-0.14067204176733114,0.05312843633168461,0.008102389907627155,0.8687741866284101
