Statistic,Value
N total,3401
N treated (T=1),852
N control (T=0),2549
Poverty 75th percentile (cutoff),0.0020
E[Y|T=1] (mean outcome treated),-0.3309
E[Y|T=0] (mean outcome control),-0.6252
τ_naive (unadjusted ATE),0.2943
