Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.264,0.325,0.061
Q2,0.335,0.355,0.020
Q3,0.333,0.533,0.200
Q4,0.409,0.596,0.186
Q5 (Highest poverty),0.368,0.776,0.407
