X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.3976,0.3444,-0.0532
Top 20% of cells,0.6149,0.5596,-0.0553
Top 50% of cells,0.9152,0.8558,-0.0594
