Version,Class,N_cells,Area_share,WP_pop_share,Meta_pop_share
median,HH,22,0.3928613318606873,0.7950638084627849,0.7520321155257687
median,LH,6,0.10714454440627881,0.02308349905462725,0.10378315537007769
median,LL,22,0.3928630101004327,0.058960075569911896,0.09764313015674518
median,HL,6,0.10713111363260133,0.12289261691267604,0.0465415989474086
quartile,HH,8,0.14285538797807826,0.42486267148398643,0.3930333791142571
quartile,LH,0,0.0,0.0,0.0
quartile,LL,9,0.1607129258108698,0.012564365422003015,0.014920654008507095
quartile,HL,0,0.0,0.0,0.0
quartile,other,39,0.6964316862110521,0.5625729630940105,0.5920459668772358
