,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,0.31534705720402456,0.07102333294955859,0.07446060433939058,4.440048701009101,4.235085922304314,4.715019896578786e-05,2.2846433185626748e-05,,
Poverty,-0.7204540998456272,0.10200367612659964,0.1145881820172654,-7.063020934181346,-6.28733336337489,3.926193630014779e-09,3.229653743477405e-10,-0.65666695454306,0.20905510343934808
Distance,-0.3999672335700668,0.07896969352258829,0.07481038835015798,-5.064819372202087,-5.346413010155456,5.487598267439036e-06,8.971436767172681e-08,-0.36455516769457746,0.10749981338004566
PopulationDensity,-1.3904945942146103,0.10375483484602738,0.14141653883061842,-13.401733001436611,-9.832616508031458,1.687857498194801e-18,8.147396182227447e-23,-1.2673837940364912,0.7526649802618093
