Variable,Model_1_Bivariate,Model_2_Controlled,beta_standardized,partial_R2
Log pop density (std),—,"-0.589*** (SE=0.066, HC3=0.084)",-0.7077,0.1589
Constant,0.230,0.230*** (0.037),—,—
Observations,240,240,—,—
