,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,0.2295177774601529,0.037212788958671826,0.037871333466051676,6.167712334462574,6.060462002635725,2.9825071228327696e-09,1.357311140163145e-09,,
Poverty,0.10766690922955702,0.0642419634520601,0.06783069462181265,1.6759591930888342,1.5872889085074182,0.0950704426174871,0.11244722613451899,0.12942025926984232,0.005620194673648049
Distance,-0.19625125605728505,0.04314896112001952,0.047465437710295356,-4.5482266771477775,-4.134613847977172,8.65334789428564e-06,3.555519632638141e-05,-0.2359024571496984,0.0413912632615665
PopulationDensity,-0.5887867205006407,0.06606867923410349,0.0837046467331933,-8.911737412130972,-7.034098386167082,1.3934167212769557e-16,2.0055357795509013e-12,-0.7077469815666838,0.15890927331228366
