Statistic,Value
N total,21238
N treated (T=1),5327
N control (T=0),15911
Poverty 75th percentile (cutoff),0.5140
E[Y|T=1] (mean outcome treated),-0.7270
E[Y|T=0] (mean outcome control),-0.4567
τ_naive (unadjusted ATE),-0.2702
