Statistic,Value
N total,232
N treated (T=1),58
N control (T=0),174
Poverty 75th percentile (cutoff),-0.6292
E[Y|T=1] (mean outcome treated),0.1051
E[Y|T=0] (mean outcome control),-0.0520
τ_naive (unadjusted ATE),0.1571
