Estimator,tau,se_robust,exp_tau
Naive (diff-in-means),0.15712660378478743,,1.170143749150862
1. Covariate-adjusted regression,-0.19503424867082025,0.11164374841331531,0.8228064775452504
2. IPW,-0.45133460025773575,0.39840260148691636,0.6367777405319355
3. Doubly Robust (Double ML),-0.24849036131923827,0.11400368312506359,0.7799773787518564
