Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.417,0.495,0.079
Q2,0.460,0.536,0.076
Q3,0.499,0.544,0.046
Q4,0.545,0.593,0.048
Q5 (Highest poverty),0.492,0.480,-0.012
