Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),0.1336342659134356,0.12636115591522346,0.2902569463709249,1.1429747183777728
SLM (spatial lag),0.1334713720442925,0.12752022510940828,0.2952526077896994,1.1427885499668216
SEM (spatial error),0.05418530703283527,0.05328654751724642,0.30921692418970426,1.0556802089980108
