,coef,std_err,p
const,-0.7311676444937496,0.01950845745377855,1.3093850150986958e-257
Poverty,-0.10915068006760618,0.019819700065847556,3.917213669239144e-08
PopulationDensity,-0.6115008072004899,0.04153496542995088,1.313962053165501e-47
Poverty_x_PopDens,-0.3817448162612591,0.02162936128303688,9.020437687295227e-67
