poverty,pred,ci_lo,ci_hi
-1.753,-0.5395674820892203,-0.6646174744542079,-0.41451748972423275
-1.6939591836734693,-0.5409796880760672,-0.661432847569134,-0.4205265285830005
-1.6349183673469387,-0.542391894062914,-0.6582631024542467,-0.4265206856715813
-1.5758775510204082,-0.5438041000497609,-0.6551100769651983,-0.4324981231343235
-1.5168367346938774,-0.5452163060366078,-0.6519759160066656,-0.43845669606654997
-1.4577959183673468,-0.5466285120234546,-0.6488631363228797,-0.44439388772402955
-1.3987551020408162,-0.5480407180103015,-0.6457747077536713,-0.45030672826693174
-1.3397142857142856,-0.5494529239971483,-0.6427141558005958,-0.4561916921937008
-1.280673469387755,-0.5508651299839952,-0.639685691931454,-0.4620445680365363
-1.2216326530612243,-0.552277335970842,-0.6366943801778926,-0.46786029176379146
-1.162591836734694,-0.5536895419576889,-0.6337463514211858,-0.47363273249419197
-1.103551020408163,-0.5551017479445358,-0.6308490805122304,-0.47935441537684115
-1.0445102040816325,-0.5565139539313826,-0.6280117462161375,-0.4850161616466276
-0.985469387755102,-0.5579261599182295,-0.6252456999708306,-0.49060661986562837
-0.9264285714285714,-0.5593383659050764,-0.6225650762814695,-0.4961116555286832
-0.8673877551020407,-0.5607505718919232,-0.6199875839534174,-0.5015135598304291
-0.8083469387755101,-0.5621627778787701,-0.6175355198350221,-0.5067900359225181
-0.7493061224489794,-0.5635749838656169,-0.6152370373126148,-0.511912930418619
-0.6902653061224489,-0.5649871898524638,-0.6131276639028306,-0.516846715802097
-0.6312244897959183,-0.5663993958393106,-0.6112519651977585,-0.5215468264808628
-0.5721836734693877,-0.5678116018261574,-0.6096650482211851,-0.5259581554311298
-0.5131428571428571,-0.5692238078130044,-0.6084332356723252,-0.5300143799536836
-0.45410204081632655,-0.5706360137998512,-0.6076327400306392,-0.5336392875690632
-0.39506122448979575,-0.5720482197866981,-0.607344771053971,-0.5367516685194251
-0.33602040816326517,-0.5734604257735448,-0.607645884257487,-0.5392749672896027
-0.2769795918367346,-0.5748726317603918,-0.608594358776934,-0.5411509047438496
-0.21793877551020402,-0.5762848377472386,-0.6102167465503963,-0.5423529289440809
-0.15889795918367344,-0.5776970437340856,-0.6125008403358958,-0.5428932471322754
-0.09985714285714287,-0.5791092497209324,-0.615398977490665,-0.5428195219511998
-0.04081632653061207,-0.5805214557077792,-0.6188397892588249,-0.5422031221567336
0.018224489795918508,-0.5819336616946261,-0.6227424265801728,-0.5411248968090795
0.07726530612244908,-0.583345867681473,-0.627027971083956,-0.53966376427899
0.13630612244897966,-0.5847580736683198,-0.631626050845422,-0.5378900964912176
0.19534693877551024,-0.5861702796551667,-0.6364773236202843,-0.535863235690049
0.25438775510204104,-0.5875824856420135,-0.6415333922254061,-0.533631579058621
0.3134285714285714,-0.5889946916288604,-0.6467555107942632,-0.5312338724634577
0.3724693877551022,-0.5904068976157073,-0.6521129297436405,-0.5287008654877741
0.43151020408163254,-0.5918191036025541,-0.6575813027150796,-0.5260569044900285
0.49055102040816334,-0.593231309589401,-0.6631413197745251,-0.5233212994042769
0.5495918367346941,-0.5946435155762477,-0.6687776000238188,-0.5205094311286766
0.6086326530612245,-0.5960557215630946,-0.674477821066371,-0.5176336220598182
0.6676734693877553,-0.5974679275499415,-0.6802320451671235,-0.5147038099327594
0.7267142857142856,-0.5988801335367884,-0.6860322012129282,-0.5117280658606486
0.7857551020408164,-0.6002923395236353,-0.6918716870662385,-0.508712991981032
0.8447959183673468,-0.6017045455104821,-0.697745063799682,-0.5056640272212822
0.9038367346938776,-0.603116751497329,-0.7036478196852982,-0.5025856833093598
0.9628775510204084,-0.6045289574841759,-0.7095761870982731,-0.4994817278700787
1.0219183673469387,-0.6059411634710227,-0.7155269996406953,-0.49635532730135
1.0809591836734695,-0.6073533694578696,-0.7214975799516242,-0.4932091589641149
1.14,-0.6087655754447165,-0.7274856510440253,-0.49004549984540785
