Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,-0.08583090059064222,0.10774344932335866,0.4256700653331854,,-1.3375149454096216,0.8031608366815683,0.0958501368403188,
T (poverty top quartile),0.05135121807096669,0.2336590029084767,0.8260503549556333,,-0.0634493576918803,0.1433517905397249,0.658045722354291,
Distance (z),-0.1520919774254276,0.08826169066251136,0.08485352696095864,,-0.40709255803862515,0.21066838979386693,0.05331193284999873,
Log Population Density (z),-0.28019073149566615,0.11107744119605248,0.01165302554422449,*,-1.0733253736570176,0.09070177275125081,2.617806604023717e-32,***
Spatial parameter,0.746715183870557,0.06909908106608291,3.208766580263415e-27,***,0.9324948839918523,0.029342817127309226,1.2498242212517054e-221,***
