,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,-0.9708963151570817,0.04104797701516637,0.041448483406272676,-23.652720201006638,-23.424169845745176,4.3043424466153504e-64,2.424331322416548e-121,,
Poverty,-0.564754347302961,0.06994272596135111,0.08183550019444161,-8.074525828676345,-6.901092386080632,3.517398105407097e-14,5.160415678786467e-12,-0.7589072776617644,0.1983699313062065
Distance,-0.07347310154140745,0.04170564919932618,0.04195880715182714,-1.761706218508991,-1.751076985471642,0.07941922457744478,0.07993264994323414,-0.09873190306270274,0.009442973293066204
PopulationDensity,-0.23150900475664987,0.06932451074889032,0.09082843514224567,-3.3394971310396975,-2.548860435546264,0.000975955421670301,0.010807554163455305,-0.3110978594376416,0.03393156854775414
