,coef,std_err,p
const,-0.04634682493867486,0.1727129401322394,0.7894947206592853
Poverty,-0.6097536737207574,0.18868747642031347,0.002138342675105053
PopulationDensity,-1.238879427076268,0.24705090866466375,6.542524486745819e-06
Poverty_x_PopDens,-0.5875371321787428,0.19726265403706944,0.004393714011829649
