Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.352,0.236,-0.115
Q2,0.394,0.257,-0.137
Q3,0.414,0.315,-0.098
Q4,0.598,0.321,-0.277
Q5 (Highest poverty),0.467,0.398,-0.070
