Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.537,0.676,0.140
Q2,0.386,0.494,0.108
Q3,0.396,0.496,0.100
Q4,0.387,0.482,0.096
Q5 (Highest poverty),0.392,0.458,0.066
