,coef,std_err,p
const,-0.6560741227726599,0.006827683903209862,0.0
Poverty,-0.35791936709289957,0.007685369235783841,0.0
PopulationDensity,-0.753756684557652,0.02109042336763829,7.96373725723927e-271
Poverty_x_PopDens,-0.2314411411158668,0.006595135682821129,1.7354095025372662e-261
