X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.4032,0.4177,0.0144
Top 20% of cells,0.597,0.6214,0.0243
Top 50% of cells,0.8704,0.8784,0.008
