Version,Class,N_cells,Area_share,WP_pop_share,Meta_pop_share
median,HH,40,0.3960602362652875,0.93212399127839,0.9295570434354751
median,LH,10,0.09932237912573869,0.009415360593918816,0.04471147077698945
median,LL,40,0.40360918827154163,0.029021547559874957,0.01714807005236866
median,HL,10,0.1010081963374319,0.029439100567816512,0.008583415735166966
quartile,HH,21,0.20726888889439934,0.8070570521077852,0.7801826340277471
quartile,LH,1,0.009781048765423746,4.447733956949624e-05,0.01637114658805901
quartile,LL,18,0.18146724478483944,0.006398969969144243,0.002613617096382842
quartile,HL,0,0.0,0.0,0.0
quartile,other,60,0.6014828175553374,0.18649950058350115,0.2008326022878112
