X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.5429,0.5545,0.0116
Top 20% of cells,0.7948,0.7757,-0.0192
Top 50% of cells,0.9616,0.9743,0.0127
