Version,Class,N_cells,Area_share,WP_pop_share,Meta_pop_share
median,HH,7761,0.3847024341943445,0.7684510610699696,0.8609804483486926
median,LH,2164,0.10802312957420657,0.034985305394364744,0.0696123004669707
median,LL,7760,0.38859512994894124,0.09868878615552379,0.05027342437509089
median,HL,2164,0.11867930628250759,0.09787484738014168,0.019133826809245847
quartile,HH,3602,0.1774610204526766,0.5768481104149035,0.7224562840347861
quartile,LH,166,0.008036713704371283,0.0011668461691159563,0.014316690730870479
quartile,LL,2807,0.14025009179314513,0.01975112687620903,0.010334570315133447
quartile,HL,169,0.011317191364169196,0.014474881028592415,0.00070879985459178
quartile,other,13105,0.6629349826856377,0.387759035511179,0.2521836550646184
