Poverty Quintile,Gini (WorldPop),Gini (Meta),ΔGini (Meta − WP)
Q1 (Lowest poverty),0.422,0.463,0.042
Q2,0.318,0.515,0.197
Q3,0.307,0.510,0.203
Q4,0.318,0.347,0.029
Q5 (Highest poverty),0.314,0.311,-0.003
