poverty_strata,allocation_residual
Low (bottom 25%),-0.47380453746491413
Medium,0.24490778597844617
Low (bottom 25%),-0.4605651347308941
Low (bottom 25%),-0.5595548556921589
Low (bottom 25%),-0.6670984250685635
Medium,-0.37119203677830986
Medium,-0.37826902097606196
Low (bottom 25%),-0.10568331838301825
Medium,-0.20971781144181717
Medium,0.03655019746336932
Low (bottom 25%),-0.2723510752302546
Low (bottom 25%),-0.3419249904494448
Low (bottom 25%),-0.020807054817616046
Low (bottom 25%),0.7686985885054053
Medium,0.7428098501731957
Low (bottom 25%),0.03403342643747518
Low (bottom 25%),0.9534204263367853
Low (bottom 25%),-0.005003461927244875
Low (bottom 25%),0.3763316205100906
Low (bottom 25%),0.15288235545447798
Low (bottom 25%),0.5302717119368364
Low (bottom 25%),-0.3949923874226131
