Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),0.0059407488196499495,0.04124465321413554,0.8854713921589876,1.0059584300638553
SLM (spatial lag),-0.07063569455143201,0.026516617728552665,0.007725717670705039,0.9318012905886283
SEM (spatial error),-0.17754630287749068,0.021562743317351297,1.811566819687856e-16,0.8373222280096051
