,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,-0.5514893335117732,0.015721312487482736,0.01573992177959456,-35.07908986294035,-35.037615893792506,2.464521509394007e-230,6.020075228158213e-269,,
Poverty,-0.38583416086548117,0.02092588824772731,0.02391098340258058,-18.438125841916666,-16.136273208396783,1.9858693577797173e-72,1.4185190778286229e-58,-0.380388815006482,0.081670511144187
Distance,-0.02681975856990157,0.015922920553801404,0.018849644647942605,-1.6843492046123836,-1.4228256856199613,0.09220606660661006,0.15478669340577,-0.02644124656634964,0.0006815472908093811
PopulationDensity,-0.5659787965449762,0.02080031250234349,0.032267475282746046,-27.210110255853586,-17.54022561683388,1.1622095910896238e-147,7.06463619545843e-69,-0.5579910375317921,0.17786574971800606
