Variable,Model_1_Bivariate,Model_2_Controlled,beta_standardized,partial_R2
Log pop density (std),—,"-0.566*** (SE=0.021, HC3=0.032)",-0.5580,0.1779
Constant,-0.551,-0.551*** (0.016),—,—
Observations,3401,3401,—,—
