Estimator,tau,se_robust,exp_tau
Naive (diff-in-means),-0.5611211236898298,,0.5705690266829425
1. Covariate-adjusted regression,-0.41914510769865043,0.12485649970568811,0.657608764249704
2. IPW,-0.5902619765372197,0.35090587997837897,0.5541820830125185
3. Doubly Robust (Double ML),-0.5760030649168655,0.11886028709175517,0.5621407222796017
