Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,0.1965011559129853,0.05304953769295873,0.00021213683430462805,***,-0.08392118560137966,0.8551230720030244,0.9218216757655107,
T (poverty top quartile),0.1334713720442925,0.12752022510940828,0.2952526077896994,,0.05418530703283527,0.05328654751724642,0.30921692418970426,
Distance (z),-0.19584119940102043,0.04392182907288674,8.23974798401102e-06,***,-0.757660000044627,0.0910982937445107,9.02554221755733e-17,***
Log Population Density (z),-0.6337506533338083,0.06842852072295208,2.015826391856707e-20,***,-1.3876799256731591,0.03491145359785938,0.0,***
Spatial parameter,-0.001673572612954016,0.09034613354093603,0.9852208242425491,,0.9809368899876648,0.008033236635852387,0.0,***
