Specification,τ,SE,p
Baseline SEM,-0.1062,0.0733,0.1474
Continuous poverty,-0.1469,0.0363,0.0001
Top vs Bottom quintile,-0.5666,0.2172,0.0091
Drop top 5% density,-0.112,0.079,0.1564
Drop central 10%,-0.0652,0.0818,0.4251
