Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,0.21429265700190775,0.056324975619774204,0.00014204722846021254,***,0.014760989305965127,0.27630253987261294,0.9573946530346522,
T (poverty top quartile),-0.5304165224845423,0.13246076774259732,6.219370223514584e-05,***,-0.161061410402249,0.10800305303763576,0.1358913570171249,
Distance (z),-0.5027766623829082,0.06094770108195453,1.5930769056265888e-16,***,-0.6595458692565634,0.131286146384226,5.067803809262868e-07,***
Log Population Density (z),-0.8363301592986969,0.07040086100534751,1.511890060055429e-32,***,-0.9892111142233444,0.05608728103105672,1.2809342492694686e-69,***
Spatial parameter,0.3503006313043054,0.07743442183395068,6.072876470118338e-06,***,0.8752251753882483,0.043770192614848366,5.976906132419778e-89,***
