Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),-0.7540775786394808,0.11815802346044098,1.7485690897000245e-10,0.4704443625796218
SLM (spatial lag),-0.5304165224845423,0.13246076774259732,6.219370223514584e-05,0.5883598535257091
SEM (spatial error),-0.161061410402249,0.10800305303763576,0.1358913570171249,0.8512397945238125
