Statistic,Value
N total,56
N treated (T=1),14
N control (T=0),42
Poverty 75th percentile (cutoff),-0.0920
E[Y|T=1] (mean outcome treated),0.3989
E[Y|T=0] (mean outcome control),0.2875
τ_naive (unadjusted ATE),0.1114
