X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.2523,0.2562,0.0039
Top 20% of cells,0.4576,0.4541,-0.0035
Top 50% of cells,0.877,0.868,-0.009
