Metric,Value,Input
Number of quadkeys,98,—
Spearman ρ (log shares),0.841,log(meta_share) vs log(wp_share)
Pearson r (log shares),0.836,log(meta_share) vs log(wp_share)
KS statistic,0.173,"shares normalized [0,1]"
KS p-value,0.105,"shares normalized [0,1]"
Earth Mover's Distance,0.016,"shares normalized [0,1]"
Gini (WorldPop),0.728,spatial shares
Gini (Meta baseline),0.727,spatial shares
ΔGini (Meta − WP),-0.001,spatial shares
Mean allocation_residual,-0.208,log(meta_share/wp_share)
