X_pct,Y_WP,Y_Meta,Delta_Y_Meta_minus_WP
Top 10% of cells,0.5433,0.5351,-0.0081
Top 20% of cells,0.7954,0.7655,-0.0299
Top 50% of cells,0.9603,0.9729,0.0126
