City,OLS τ,SEM τ,exp(SEM τ),SEM p-value
Cagayan de Oro,-0.01,-0.06,0.94,0.658
Davao City,-0.44,-0.14,0.87,0.008
Nairobi,-0.24,-0.14,0.87,0.051
Mexico City,0.13,0.05,1.06,0.309
