poverty,pred,ci_lo,ci_hi
-1.718,0.05893452815396832,-0.21067727817318593,0.3285463344811226
-1.670591836734694,0.05619460604587287,-0.20219135075685626,0.31458056284860203
-1.6231836734693876,0.05345468393777738,-0.19384658992883638,0.3007559578043911
-1.5757755102040816,0.050714761829681904,-0.18566285610517116,0.28709237976453494
-1.5283673469387755,0.04797483972158645,-0.17766353752479003,0.2736132169679629
-1.4809591836734695,0.04523491761349096,-0.1698762562792618,0.2603460915062437
-1.4335510204081632,0.0424949955053955,-0.16233370805437275,0.24732369906516372
-1.3861428571428571,0.03975507339730002,-0.1550746453104731,0.23458479210507316
-1.338734693877551,0.03701515128920456,-0.14814499993897384,0.22217530251738293
-1.291326530612245,0.03427522918110909,-0.1415991144146839,0.21014957277690208
-1.2439183673469387,0.031535307073013615,-0.13550100241979546,0.19857161656582267
-1.1965102040816327,0.028795384964918142,-0.1299254815398399,0.1875162514696762
-1.1491020408163264,0.026055462856822666,-0.12495890420930203,0.17706982992294737
-1.1016938775510203,0.0233155407487272,-0.12069906086534717,0.16733014236280158
-1.0542857142857143,0.02057561864063173,-0.11725366967305054,0.158404906954314
-1.0068775510204082,0.017835696532536263,-0.11473677714646331,0.15040817021153585
-0.959469387755102,0.015095774424440789,-0.1132625118643657,0.1434540607132473
-0.9120612244897959,0.012355852316345322,-0.11293612413045938,0.13764782876315002
-0.8646530612244898,0.009615930208249853,-0.11384317187098694,0.13307503228748666
-0.8172448979591836,0.006876008100154373,-0.1160388454847295,0.12979086168503823
-0.7698367346938776,0.004136085992058905,-0.11954015828586521,0.127812330269983
-0.7224285714285714,0.001396163883963436,-0.12432339062888614,0.12711571839681302
-0.6750204081632654,-0.0013437582241320374,-0.13032763394681007,0.12764011749854598
-0.6276122448979593,-0.004083680332227494,-0.13746326957771296,0.12929590891325796
-0.580204081632653,-0.006823602440322998,-0.14562284696082783,0.13197564208018187
-0.532795918367347,-0.009563524548418459,-0.1546916973921108,0.13556464829527387
-0.4853877551020409,-0.012303446656513903,-0.16455647174222995,0.13994957842920216
-0.4379795918367346,-0.015043368764609408,-0.1751109218910067,0.14502418436178788
-0.39057142857142857,-0.01778329087270486,-0.1862591060549132,0.15069252430950347
-0.3431632653061225,-0.020523212980800322,-0.19791661719883916,0.15687019123723853
-0.29575510204081645,-0.0232631350888958,-0.21001050519122602,0.16348423501343443
-0.24834693877551017,-0.026003057196991287,-0.22247845372675065,0.1704723393327681
-0.20093877551020412,-0.028742979305086767,-0.23526761092134926,0.17778165231117574
-0.15353061224489806,-0.03148290141318222,-0.24833332522705667,0.18536752240069224
-0.10612244897959178,-0.0342228235212777,-0.26163792850245154,0.19319228145989614
-0.05871428571428572,-0.036962745629373184,-0.27514963540346826,0.2012241441447219
-0.01130612244897966,-0.03970266773746863,-0.2888415843447157,0.20943624886977844
0.0361020408163264,-0.04244258984556409,-0.30269102096000133,0.21780584126887315
0.08351020408163268,-0.04518251195365955,-0.3166786129351221,0.22631358902780305
0.13091836734693874,-0.047922434061755025,-0.33078788020190175,0.23494301207839172
0.1783265306122448,-0.05066235616985049,-0.34500472351323735,0.24368001117353638
0.22573469387755107,-0.053402278277946,-0.35931703540461957,0.2525124788487275
0.27314285714285713,-0.056142200386041466,-0.3737143793686332,0.2614299785965503
0.3205510204081632,-0.05888212249413694,-0.388187725120251,0.27042348013197715
0.36795918367346925,-0.06162204460223239,-0.4027292298086751,0.27948514060421026
0.4153673469387753,-0.06436196671032787,-0.4173320568019585,0.2886081233813027
0.46277551020408136,-0.06710188881842331,-0.4319902251905834,0.29778644755373673
0.5101836734693879,-0.06984181092651885,-0.44669848442840704,0.3070148625753693
0.5575918367346939,-0.07258173303461429,-0.4614522095775013,0.31628874350827274
0.605,-0.07532165514270976,-0.476247313478258,0.32560400319283844
