,coef,std_err,p
const,-0.08620100209356477,0.06483728037024362,0.1850125585112705
Poverty,-0.09301714024969704,0.07029606147824585,0.18708771520630907
PopulationDensity,-0.25946384291732427,0.0729596366043487,0.00045737841466390156
Poverty_x_PopDens,-0.1791357308420129,0.07921071526893766,0.0246708348815211
