Specification,τ,SE,p
Baseline SEM,-0.114,0.0528,0.031
Continuous poverty,-0.1615,0.0352,0.0
Top vs Bottom quintile,-0.6078,0.1663,0.0003
Drop top 5% density,-0.1434,0.056,0.0104
Drop central 10%,-0.1156,0.0553,0.0365
