Specification,τ,SE,p
Baseline SEM,-0.1775,0.0216,0.0
Continuous poverty,-0.2198,0.012,0.0
Top vs Bottom quintile,-0.6831,0.0521,0.0
Drop top 5% density,-0.166,0.0229,0.0
Drop central 10%,-0.177,0.0231,0.0
