Variable,Model_1_Bivariate,Model_2_Controlled,beta_standardized,partial_R2
Log pop density (std),—,"-0.232*** (SE=0.069, HC3=0.091)",-0.3111,0.0339
Constant,-0.971,-0.971*** (0.041),—,—
Observations,239,239,—,—
