Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,-0.13439229476581832,0.005879834950136763,1.260051481421562e-115,***,-0.5560701252607027,0.010266510575486904,0.0,***
T (poverty top quartile),-0.21339940984994016,0.009657660510613968,3.423880490693337e-108,***,-0.13518273937548875,0.008529180123608142,1.4183631639541698e-56,***
Distance (z),-0.07264174156806694,0.004104736245371213,4.4181797252200265e-70,***,-0.18747034104887975,0.01005706055480579,1.5034756837351298e-77,***
Log Population Density (z),-0.2538024938268002,0.0044989812262517335,0.0,***,-0.4666569109530231,0.004354242035628165,0.0,***
Spatial parameter,0.6619556204028062,0.006333550574753711,0.0,***,0.6619556204028062,0.007259319900229362,0.0,***
