Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),-0.37772051540064944,0.015279973712249388,6.523808117063038e-135,0.6854220388025446
SLM (spatial lag),-0.21339940984994016,0.009657660510613968,3.423880490693337e-108,0.8078334161482715
SEM (spatial error),-0.13518273937548875,0.008529180123608142,1.4183631639541698e-56,0.8735562639753839
