Variable,SLM_coef,SLM_SE,SLM_p,SLM_sig,SEM_coef,SEM_SE,SEM_p,SEM_sig
Constant,-0.032496090165340275,0.03857309451117226,0.3995334076278655,,-0.30251325741284035,1.3342981318826064,0.8206407836928777,
T (poverty top quartile),-0.21180899670763112,0.07581681132250513,0.0052109707256590525,**,-0.11400953524242227,0.052840041895400494,0.03095620439809696,*
Distance (z),-0.01990577264831706,0.029565622370221475,0.5007728224771268,,-0.1048387553907522,0.1204395523438593,0.3840447940970968,
Log Population Density (z),-0.16539958202679833,0.03508302358401199,2.4228237121003103e-06,***,-0.5594125568161252,0.0323837789224456,7.324553994093938e-67,***
Spatial parameter,0.9136113782598226,0.023913823316224707,0.0,***,0.9843202154947044,0.006572823084728891,0.0,***
