Model,tau,SE,p_value,exp_tau
OLS (covariate-adjusted),-0.4191451076986501,0.12485649970568795,0.0007878891717649562,0.6576087642497043
SLM (spatial lag),-0.21180899670763112,0.07581681132250513,0.0052109707256590525,0.8091192272445141
SEM (spatial error),-0.11400953524242227,0.052840041895400494,0.03095620439809696,0.8922494480270581
