,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,-0.5356996488702328,0.0055383010339944295,0.0055391576734984,-96.7263508397387,-96.71139195644122,0.0,0.0,,
Poverty,-0.47360421170486783,0.007174540917829546,0.008030682659552955,-66.01177930812378,-58.97434026252907,0.0,0.0,-0.5454141134246743,0.17726280862561827
Distance,-0.1573216866160876,0.00558481882841508,0.006275220152754386,-28.16952374813814,-25.070305548887287,4.369265092335671e-171,1.0487221929824099e-138,-0.18117547544458615,0.03228001718287776
PopulationDensity,-0.43131845796046936,0.007212755665496486,0.009677930263031119,-59.79939955872327,-44.56722111421588,0.0,0.0,-0.49671681234710835,0.14546831041879038
