Variable,Model_1_Bivariate,Model_2_Controlled,beta_standardized,partial_R2
Log pop density (std),—,"-0.431*** (SE=0.007, HC3=0.010)",-0.4967,0.1455
Constant,-0.536,-0.536*** (0.006),—,—
Observations,19060,19060,—,—
