,coef,std_err,std_err_HC3,t,t_HC3,p,p_HC3,beta_standardized,partial_R2
const,-0.22684367743800787,0.10535728479404592,0.1109538070907073,-2.1530896309775396,-2.044487551946351,0.03395625161265877,0.04090540590768674,,
Poverty,-0.6727794359543581,0.23149327810560655,0.41389849477082474,-2.9062590562454176,-1.6254696367689752,0.0045929800917980795,0.10406252843252438,-0.6067390750032058,0.07625288855084433
Distance,-0.3760286079353552,0.1077067896073811,0.09059314049765668,-3.4912247343558933,-4.150740396786241,0.0007437417144297427,3.314014851159993e-05,-0.3391174544890794,0.11003814597392658
PopulationDensity,-0.704945722751262,0.2334021540878359,0.511740188505186,-3.0203051274581245,-1.3775461427222224,0.0032774581441196425,0.16834345900433256,-0.6357479032379102,0.08235487127491192
