Specification,τ,SE,p
Baseline SEM,-0.1407,0.0531,0.0081
Continuous poverty,-0.1466,0.0362,0.0001
Top vs Bottom quintile,-0.5544,0.1643,0.0007
Drop top 5% density,-0.1437,0.055,0.009
Drop central 10%,-0.1408,0.0581,0.0153
